rosbagTimestamp,name,pose,position,x,y,z,orientation,x,y,z,w,position,x,y,z,orientation,x,y,z,w,twist,linear,x,y,z,angular,x,y,z,linear,x,y,z,angular,x,y,z
18000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,2.31562084249E-21,0.2525006,,9.5655367059E-21,-1.03325479662E-17,8.74099845632E-22,1,,,0,0,0,,0,0,0,,5.56697736494E-16,-2.55804953841E-18,-0.1666,,-1.58594573971E-17,-4.58620706642E-15,-2.85907497003E-18
19000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,4.31296589206E-21,0.2523242,,1.59488407086E-20,-9.22905255073E-18,-2.15516252863E-22,1,,,0,0,0,,0,0,0,,-3.67940732503E-16,1.99734504957E-18,-0.1764,,1.27666080053E-17,2.20699083093E-15,-2.17923219699E-18
20000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,4.90542727785E-21,0.252138,,1.58262699264E-20,-1.51418319497E-17,1.97382153813E-21,1,,,0,0,0,,0,0,0,,1.48990999983E-15,5.92461385794E-19,-0.1862,,-2.45141564422E-19,-1.18255587979E-14,4.37867558199E-18
21000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,9.36338300628E-21,0.251942,,2.60874025231E-20,-2.22668016919E-17,2.85623874163E-21,1,,,0,0,0,,0,0,0,,1.70127367867E-15,4.45795572842E-18,-0.196,,2.05222651935E-17,-1.42499394845E-14,1.76483440699E-18
22000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,6.84062099972E-21,0.2517362,,2.19454231327E-20,-2.70543465098E-17,-9.91060111887E-22,1,,,0,0,0,,0,0,0,,1.03101510997E-15,-2.52276200656E-18,-0.2058,,-8.28395878078E-18,-9.57508963582E-15,-7.69459770703E-18
23000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,3.2581235173E-21,0.2515206,,1.61905398511E-20,-2.48657691156E-17,-5.32133570745E-21,1,,,0,0,0,,0,0,0,,-7.24874596815E-16,-3.58249748242E-18,-0.2156,,-1.15097665632E-17,4.37715478841E-15,-8.66055119112E-18
24000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,8.75914540801E-23,0.2512952,,8.34169226481E-21,-2.14841352393E-17,-5.25447162759E-21,1,,,0,0,0,,0,0,0,,-8.55802912881E-16,-3.17053206322E-18,-0.2254,,-1.56976951726E-17,6.76326775271E-15,1.33728159716E-19
25000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-9.85450973211E-22,0.25106,,7.60487276636E-23,-2.1709537759E-17,-1.62663753016E-21,1,,,0,0,0,,0,0,0,,1.7545664704E-16,-1.07304242729E-18,-0.2352,,-1.65312870743E-17,-4.50805039572E-16,7.25566819485E-18
26000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,8.19302699798E-22,0.250815,,7.48209610507E-22,-2.06292057065E-17,9.40607245539E-22,1,,,0,0,0,,0,0,0,,-1.99112146653E-16,1.80475367301E-18,-0.245,,1.34432176569E-18,2.16066410511E-15,5.1344895514E-18
27000000,"[ground_plane, wheelchair]",,,0,0,0,,0,0,0,1,,0,-5.90159998819E-21,0.2505602,,-1.66773969249E-20,-1.49069864041E-17,-2.3969398522E-21,1,,,0,0,0,,0,0,0,,-1.40822335104E-15,-6.72090268799E-18,-0.2548,,-3.48512130708E-17,1.14444386047E-14,-6.67509419548E-18
