Time,Clus_label,trial,Mean Torque_L,Mean Torque_R,Mean Chair_LinVel,Mean Chair_AngVel,lin_acc_prediction,lin_velocity_prediction,ang_acc_prediction,ang_velocity_prediction,AngVel_L,AngVel_R
0,0,Obstacles15_T1,0.088693758953142,-0.068457591161146,0.001992380932446,0.008096500813366,-0.017190781183626,-0.001146052078908,0,0,-0.00382017359636,-0.00382017359636
0.066666666666667,0,Obstacles15_T1,0.063503171806897,-0.073682643014743,0.000716824121993,0.002793861900752,-0.018145761114491,-0.002355769486541,0,0,-0.007852564955137,-0.007852564955137
0.133333333333333,0,Obstacles15_T1,0.174941949590022,-0.068257712658893,-0.000404753267973,-0.002060750224238,-0.0151632891068,-0.003366655426994,0,0,-0.011222184756647,-0.011222184756647
0.2,0,Obstacles15_T1,0.227811855372719,-0.036133594478923,-0.001602340846529,-0.004065779734418,-0.011673261036912,-0.004144872829455,0,0,-0.01381624276485,-0.01381624276485
0.266666666666667,0,Obstacles15_T1,0.131873872732521,-0.035038900344284,-0.002627728826972,-0.003116373586439,-0.013836054389176,-0.0050672764554,0,0,-0.016890921518,-0.016890921518
0.333333333333333,0,Obstacles15_T1,0.05012541595735,-0.088381385346511,-0.00291888248604,-0.002851828871531,-0.019490222691051,-0.006366624634804,0,0,-0.021222082116013,-0.021222082116013
0.4,0,Obstacles15_T1,0.085776736442173,-0.080367118432593,-0.003511794033291,-0.004479774865322,-0.018095176644236,-0.007572969744419,0,0,-0.025243232481397,-0.025243232481397
0.466666666666667,0,Obstacles15_T1,0.027215670852223,-0.090390184433776,-0.004806744371008,-0.005560901497967,-0.02016610837332,-0.008917376969307,0,0,-0.02972458989769,-0.02972458989769
0.533333333333333,1,Obstacles15_T1,0.081946933060681,-0.111766406083663,-0.003940900077601,-0.006601463288085,-0.137146286043225,-0.018060462705522,0,0,-0.06020154235174,-0.06020154235174
0.6,1,Obstacles15_T1,0.98491935673667,0.540378586404495,0.002900713051924,-0.006986085783567,-0.062369587746558,-0.02221843522196,0,0,-0.074061450739867,-0.074061450739867
0.666666666666667,1,Obstacles15_T1,2.54623659239899,1.83090052670274,0.014289489592911,-0.002060357966457,0.074434547446583,-0.017256132058854,0,0,-0.05752044019618,-0.05752044019618
0.733333333333333,1,Obstacles15_T1,4.22206681621203,3.10696704907915,0.026767064765595,0.007140666204762,0.216243408766523,-0.002839904807752,0,0,-0.009466349359173,-0.009466349359173
0.8,1,Obstacles15_T1,6.10082313375926,4.41669455363117,0.04136257735921,0.005814623100571,0.369653265978901,0.021803646257508,0,0,0.07267882085836,0.07267882085836
0.866666666666667,1,Obstacles15_T1,7.94276376752997,5.48865812232409,0.063976409253739,-0.0139469112683,0.510280797613772,0.055822366098426,0,0,0.18607455366142,0.18607455366142
0.933333333333333,1,Obstacles15_T1,9.31325653652942,6.14753929048165,0.096364420134977,-0.036702310307729,0.608520927663619,0.096390427942667,0,0,0.321301426475557,0.321301426475557
1,1,Obstacles15_T1,10.053949397624,6.69817967971874,0.135055702422152,-0.042105081878124,0.670582488101305,0.141095927149421,0,0,0.470319757164737,0.470319757164737
1.06666666666667,1,Obstacles15_T1,10.3244818930227,7.18214125718507,0.175556431755881,-0.028450506373504,0.706286976185757,0.188181725561804,0,0,0.627272418539347,0.627272418539347
1.13333333333333,0,Obstacles15_T1,10.1828184769715,7.34527978644235,0.214762170049158,-0.00952441016004,0.739055047940703,0.237452062091185,0,0,0.791506873637283,0.791506873637283
1.2,0,Obstacles15_T1,9.69954171372454,7.16761805376383,0.252530649326924,0.00287638810753,0.715297426095491,0.285138557164217,0,0,0.950461857214057,0.950461857214057
1.26666666666667,0,Obstacles15_T1,9.16490037506363,6.91780816773966,0.291620796496714,0.012203665671114,0.685274393868361,0.330823516755441,0,0,1.10274505585147,1.10274505585147
1.33333333333333,0,Obstacles15_T1,8.68033243168843,6.90258947162998,0.332557365870642,0.026552244289473,0.672893527168132,0.375683085233317,0,0,1.25227695077772,1.25227695077772
1.4,0,Obstacles15_T1,8.09242588570398,7.18738625714914,0.372060227709167,0.041606698813677,0.679167589605062,0.420960924540321,0,0,1.40320308180107,1.40320308180107
1.46666666666667,0,Obstacles15_T1,7.35696615473959,7.45908772817267,0.408811301540901,0.050073888738934,0.681077471029781,0.46636608927564,0,0,1.5545536309188,1.5545536309188
1.53333333333333,0,Obstacles15_T1,6.73272838785956,7.69741225326741,0.446593760312287,0.060698937609107,0.683240059955469,0.511915426606004,0,0,1.70638475535335,1.70638475535335
1.6,0,Obstacles15_T1,6.17507006227435,8.30231201841989,0.489988866617791,0.093006467543202,0.712698186529013,0.559428639041272,0,0,1.86476213013757,1.86476213013757
1.66666666666667,0,Obstacles15_T1,5.44884338689036,9.19464657808485,0.537250504403215,0.150056677980723,0.758405032246364,0.609988974524363,0,0,2.03329658174788,2.03329658174788
1.73333333333333,0,Obstacles15_T1,4.74238925130584,9.92603745758746,0.577562607841947,0.196489023441082,0.79327185470448,0.662873764837995,0,0,2.20957921612665,2.20957921612665
1.8,0,Obstacles15_T1,3.7158329341048,9.28918923522964,0.599019762607864,0.189621349121364,0.724586926897186,0.711179559964474,0,0,2.37059853321491,2.37059853321491
1.86666666666667,0,Obstacles15_T1,1.70294465857711,5.54552610367002,0.605020742441832,0.131198250586405,0.414712800321051,0.738827079985877,0,0,2.46275693328626,2.46275693328626
1.93333333333333,0,Obstacles15_T1,0.033705597255244,0.938661714117405,0.61484739532066,0.075166655668916,0.052246357751017,0.742310170502612,0,0,2.47436723500871,2.47436723500871
