Time,Clus_label,trial,Mean Torque_L,Mean Torque_R,Mean Chair_LinVel,Mean Chair_AngVel,lin_acc_prediction,lin_velocity_prediction,ang_acc_prediction,ang_velocity_prediction,AngVel_L,AngVel_R
0,0,Turn90FL_T1,0.100767516081819,-0.074119971649002,0.004468116614905,-0.009403215611042,-0.017306537888052,-0.001153769192537,0,0,-0.003845897308456,-0.003845897308456
0.066666666666667,0,Turn90FL_T1,0.064421107715116,-0.165842457948901,0.004168332703274,-0.001428820211535,-0.024595877927014,-0.002793494387671,0,0,-0.009311647958904,-0.009311647958904
0.133333333333333,0,Turn90FL_T1,0.039546846480867,-0.101736887338209,0.002704245100224,0.006530058887763,-0.020675013950645,-0.004171828651047,0,0,-0.013906095503491,-0.013906095503491
0.2,0,Turn90FL_T1,-0.019795594279127,-0.077349397285308,-0.00082525590117,0.008170938876798,-0.020347846301139,-0.00552835173779,0,0,-0.018427839125967,-0.018427839125967
0.266666666666667,0,Turn90FL_T1,0.001727195177702,-0.106530332218175,-0.00473428239656,0.006117147205553,-0.021894510439936,-0.006987985767119,0,0,-0.023293285890397,-0.023293285890397
0.333333333333333,0,Turn90FL_T1,0.151280024941389,-0.120059734996279,-0.006896238651437,-0.001990011310325,-0.019353259735554,-0.008278203082823,0,0,-0.027594010276076,-0.027594010276076
0.4,1,Turn90FL_T1,0.545383037610299,-0.092001284062723,-0.004074730772452,-0.017167786850754,-0.113284582330864,-0.015830508571547,0,0,-0.052768361905156,-0.052768361905156
0.466666666666667,1,Turn90FL_T1,1.70422948448473,0.374046831555351,0.007487261371346,-0.021705211837093,-0.034413919651374,-0.018124769881639,0,0,-0.060415899605462,-0.060415899605462
0.533333333333333,1,Turn90FL_T1,3.68435181420886,1.93552193948188,0.02685704602869,-0.000381879631823,0.135619520742379,-0.009083468498813,0,0,-0.030278228329377,-0.030278228329377
0.6,1,Turn90FL_T1,5.71368871065871,4.14665372515728,0.04842101415468,0.029479035513742,0.338034434921579,0.013452160495959,0,0,0.044840534986529,0.044840534986529
0.666666666666667,1,Turn90FL_T1,7.36802923136847,5.95535770856664,0.071801501210143,0.036072837524734,0.503329597129541,0.047007466971262,0,0,0.156691556570871,0.156691556570871
0.733333333333333,1,Turn90FL_T1,8.66545983323148,7.29142245104014,0.100727960757472,0.009598256310631,0.629164487598618,0.088951766144503,0,0,0.296505887148342,0.296505887148342
0.8,1,Turn90FL_T1,9.38295016887428,8.14146140931652,0.136659490327913,-0.02692721406851,0.703876987570404,0.135876898649196,0,0,0.452922995497321,0.452922995497321
0.866666666666667,0,Turn90FL_T1,9.28439318170742,8.57389031372377,0.176809268735291,-0.050467195860993,0.804355536020856,0.189500601050587,0,0,0.631668670168622,0.631668670168622
0.933333333333333,0,Turn90FL_T1,8.83422256536539,9.23234705253214,0.219624761077967,-0.054146816700159,0.84008377307009,0.245506185921926,0,0,0.818353953073087,0.818353953073087
1,1,Turn90FL_T1,8.71022394474025,9.90644886374247,0.264734736562556,-0.043518158196237,0.751914146353964,0.295633795678857,0,0,0.985445985596189,0.985445985596189
1.06666666666667,0,Turn90FL_T1,8.75475693114117,10.1356378078369,0.310283629956888,-0.025357439361068,0.901658552438008,0.355744365841391,0,0,1.18581455280464,1.18581455280464
1.13333333333333,0,Turn90FL_T1,8.609211963097,10.3622119941985,0.355016575849692,-0.0031369223072,0.914171063199198,0.416689103388004,0,0,1.38896367796001,1.38896367796001
1.2,0,Turn90FL_T1,8.58312633269468,10.5715017392012,0.398701384752152,0.0133228665385,0.928258612516098,0.478573010889077,0,0,1.59524336963026,1.59524336963026
1.26666666666667,0,Turn90FL_T1,8.82937509875539,10.399347575369,0.441831287284961,0.016499315395764,0.921918446495614,0.540034240655451,0,0,1.80011413551817,1.80011413551817
1.33333333333333,1,Turn90FL_T1,9.06867418449131,10.335315548793,0.486138659364464,0.017969061584391,0.789433117565217,0.592663115159799,0,0,1.97554371719933,1.97554371719933
1.4,1,Turn90FL_T1,9.31524922098443,10.4750746462166,0.533381630720077,0.033286026429409,0.808086049493052,0.646535518459336,0,0,2.15511839486445,2.15511839486445
1.46666666666667,0,Turn90FL_T1,9.45156386235908,10.3414492844283,0.584257001998934,0.050896648701165,0.932377717874996,0.708694032984336,0,0,2.36231344328112,2.36231344328112
1.53333333333333,0,Turn90FL_T1,9.13528437631207,9.94313991895847,0.633745091555241,0.050669102967181,0.897024555516438,0.768495670018765,0,0,2.56165223339588,2.56165223339588
1.6,0,Turn90FL_T1,7.34704730884169,8.42162288301607,0.669366916136713,0.040312460500828,0.748436009624022,0.8183914039937,0,0,2.72797134664567,2.72797134664567
1.66666666666667,0,Turn90FL_T1,3.5438616781249,4.74183424518183,0.686206624249349,0.039331809161992,0.401252873697323,0.845141595573521,0,0,2.81713865191174,2.81713865191174
1.73333333333333,0,Turn90FL_T1,0.33231321625086,0.925731190666895,0.695842388705738,0.051255092424619,0.058309333254469,0.849028884457153,0,0,2.83009628152384,2.83009628152384
1.8,0,Turn90FL_T1,-0.209965888302546,-0.352880823800188,0.708972748529025,0.058869797090777,-0.044135422224996,0.846086522975486,0,0,2.82028840991829,2.82028840991829
1.86666666666667,1,Turn90FL_T1,0.183290905772231,-0.107506799017077,0.722361309545199,0.056256180569556,-0.131931107052841,0.83729111583863,0,0,2.79097038612877,2.79097038612877
1.93333333333333,0,Turn90FL_T1,0.144863036574397,-0.039396794391455,0.729068245895347,0.056330250878766,-0.013838838781188,0.836368526586551,0,0,2.78789508862184,2.78789508862184
