Time,AngVel_L,AngVel_R,Chair_LinVel,Chair_AngVel,Torque_L,Torque_R
2.36666666666667,1.68427564851292,1.88314572212468,0.570787419301312,0.127276847111412,-0.526924963540846,4.24690425643614
2.37083333333333,1.68696244934589,1.88613961477904,0.571696330259296,0.127473385877069,-0.484464922800484,4.28756602409984
2.375,1.68970839420853,1.88916267132283,0.572619370484335,0.127650737352976,-0.440607014996116,4.32873428720083
2.37916666666667,1.69250714002304,1.8922194428865,0.573556253264848,0.127815873832399,-0.3952716839602,4.37038412700018
2.38333333333333,1.69535279825717,1.89531449152748,0.574506766364866,0.127975483692749,-0.348377148400764,4.41247181756733
2.3875,1.69823995090786,1.8984523399692,0.575470766539652,0.128135928998965,-0.29984068759774,4.45493701912169
2.39166666666667,1.70116366066053,1.90163742272027,0.57644817334025,0.128303207717895,-0.249580147932657,4.49770514708194
2.39583333333333,1.70411947528947,1.90487403949424,0.577438962364716,0.128482921090647,-0.197515616036275,4.54068987390078
2.4,1.7071034264683,1.9081663117373,0.578443158112222,0.128680246571687,-0.143571195253735,4.583795720004
2.40416666666667,1.71011202326944,1.91151814283565,0.579460826576146,0.128899916521819,-0.087676819463978,4.62692068910029
2.40833333333333,1.71314224072866,1.91493318226649,0.580492067678566,0.129146202583567,-0.029770041000965,4.66995890256365
2.4125,1.71619150393957,1.91841479365563,0.581537007614587,0.129422905417534,0.030202264337253,4.71280318749953
2.41666666666667,1.71925766823331,1.92196602651485,0.582595791159079,0.129733349299337,0.092282324196796,4.75534757281752
2.42083333333333,1.72233899607674,1.92558959142756,0.583668574000082,0.130080381023568,0.156500068667506,4.79748964651976
2.425,1.72543413137713,1.92928783858272,0.584755515192996,0.130466372610513,0.222871931865832,4.83913272577972
2.42916666666667,1.72854207192697,1.93306273968478,0.585856769857325,0.130893227363828,0.291399875660059,4.88018779081306
2.43333333333333,1.73166214075976,1.93691587329163,0.586972482247697,0.13136238881913,0.362070643124932,4.92057513625486
2.4375,1.73479395716995,1.94084841358737,0.588102779320678,0.131874852105782,0.434855237618841,4.96022570140012
