Time,AngVel_L,AngVel_R,Chair_LinVel,Chair_AngVel,Torque_L,Torque_R
0,-3.00205701213253E-05,0.017041847667995,0.00272189233566,0.010925995672392,0.175531718985113,-0.083258917943213
0.004166666666667,-4.0619100354187E-05,0.016410124231112,0.002619120820921,0.010528475732135,0.159640429255045,-0.079637480574705
0.008333333333333,-5.15817324085174E-05,0.015780435348232,0.002516616578532,0.010132490931607,0.144515215434958,-0.07638867332328
0.0125,-6.27474912382272E-05,0.015154869159527,0.002414739466926,0.009739274656486,0.130221787547379,-0.073511738130174
0.016666666666667,-7.39347174784912E-05,0.014535323874554,0.002313822265132,0.009349925498897,0.116819132483175,-0.071003279886872
0.020833333333333,-8.4942174378871E-05,0.013923484819771,0.002214166823263,0.008965393276252,0.10435932397841,-0.068857677729629
0.025,-9.55506282676955E-05,0.013320804197255,0.002116040571038,0.008586467088331,0.092887317909483,-0.067067382399848
0.029166666666667,-0.000105524924836,0.012728483804895,0.002019673420809,0.008213765587025,0.082440723141274,-0.065623083979375
0.033333333333333,-0.000114616577095,0.012147461150104,0.001925255131681,0.007847729745404,0.073049550684472,-0.064513753161692
0.0375,-0.000122566873507,0.01157839959681,0.001832933235728,0.007488618541,0.064735956081416,-0.063726575613306
0.041666666666667,-0.000129110506472,0.011021683350337,0.001742811655018,0.007136508068356,0.057514000259443,-0.06324681061503
0.045833333333333,-0.0001339797123,0.010477418110401,0.001654950143696,0.006791294606526,0.051389461578901,-0.063057611083832
0.05,-0.000136908903819,0.009945438060308,0.001569364665038,0.006452702057039,0.046359735632671,-0.06313984283278
0.054166666666667,-0.000137639766279,0.00942531955713,0.001486028766536,0.006120293966981,0.042413858761085,-0.063471938115862
0.058333333333333,-0.000135926776059,0.008916401537468,0.001404875961825,0.005793490120657,0.039532686050785,-0.064029813833144
0.0625,-0.000131543090179,0.008417812323521,0.001325803077334,0.005471587464768,0.037689245466663,-0.064786879355588
0.066666666666667,-0.000124286742882,0.00792850222724,0.001248674477497,0.005153784940878,0.036849277666563,-0.065714153068131
0.070833333333333,-0.000113987073754,0.007447281108869,0.001173327045618,0.004839211636879,0.036971956610755,-0.066780500102914
0.075,-0.000100511300236,0.006972859849114,0.00109957576782,0.004526957535585,0.038010770031109,-0.067952995838806
0.079166666666667,-8.37711361501479E-05,0.006503894540681,0.001027219744725,0.004216106033173,0.039914522757505,-0.069197410448991
0.083333333333333,-6.3729347311245E-05,0.006039032094212,0.000956048439504,0.003905767322576,0.042628412306229,-0.070478799721317
0.0875,-4.04061256066574E-05,0.005576955885002,0.000885847961503,0.003595111686791,0.046095117664944,-0.071762177858924
0.091666666666667,-1.38851544660766E-05,0.005116430039679,0.000816407181633,0.003283401724254,0.050255840798125,-0.073013240457203
0.095833333333333,1.56807683855911E-05,0.004656340975891,0.000747523479084,0.002970022532806,0.055051246593865,-0.074199101475102
0.1,4.80646902682334E-05,0.004195734862512,0.000679007928444,0.002654508910238,0.060422259501469,-0.075289007251419
0.104166666666667,8.29611876025796E-05,0.00373384976274,0.000610689752054,0.00233656868809,0.06631069108718,-0.076254993159945
0.108333333333333,0.000119982918253,0.003270141357618,0.000542419884138,0.002016101401196,0.072659688781318,-0.077072453430791
0.1125,0.000158658184117,0.002804301322792,0.000474073521104,0.001693211608754,0.079414009662596,-0.077720600840007
0.116666666666667,0.000198429641517,0.002336267646903,0.000405551566146,0.001368216323449,0.086520133107866,-0.078182799402448
0.120833333333333,0.000238654289523,0.001866226435848,0.000336780916058,0.00104164617365,0.093926232544291,-0.078446759339146
0.125,0.000278604855757,0.001394605043508,0.000267713583881,0.000714240120163,0.101582030084872,-0.0785045893302
0.129166666666667,0.000317472685266,0.000922056706447,0.000198324702673,0.000386933773557,0.109438559711658,-0.078352706510542
0.133333333333333,0.000354372220749,0.000449437235595,0.000128609513013,6.08416095032461E-05,0.117447866256049,-0.077991609827785
0.1375,0.000388347141616,-2.22252838338862E-05,5.85794972436181E-05,-0.000262766352287,0.125562669500115,-0.077425527146252
0.141666666666667,0.000418378205184,-0.000491766457207,-1.17421203253363E-05,-0.000582492583929,0.133736024869756,-0.076661950873591
0.145833333333333,0.00044339280577,-0.000957925593402,-8.23252460228188E-05,-0.00089684377547,0.141921012931184,-0.075711081285126
0.15,0.00046227623686,-0.001419387979479,-0.000153137878821,-0.001204265098456,0.150070487591729,-0.07458520165159
0.154166666666667,0.000473884607946,-0.001874827565427,-0.000224150873199,-0.001503175790959,0.158136906758599,-0.073298014813736
0.158333333333333,0.000477059331651,-0.002322948228344,-0.000295342223473,-0.001792004838398,0.166072259897649,-0.071863976205583
0.1625,0.00047064305859,-0.002762521911147,-0.000366700616411,-0.002069225580632,0.173828096460072,-0.070297662058469
0.166666666666667,0.00045349689775,-0.003192422177837,-0.000438228044816,-0.002333388208378,0.18135564996028,-0.068613212103007
0.170833333333333,0.000424518719628,-0.003611652061734,-0.000509941334739,-0.002583149300073,0.188606046384998,-0.066823882551805
0.175,0.000382662298541,-0.004019365442148,-0.000581872502979,-0.002817297754043,0.195530583069863,-0.064941737556312
0.179166666666667,0.000326957010478,-0.004414881523965,-0.00065406792216,-0.003034776662047,0.202081064359847,-0.062977496920621
0.183333333333333,0.000256527764324,-0.004797692298412,-0.000726586325456,-0.003234700840154,0.208210181682377,-0.060940546558306
0.1875,0.000170614808386,-0.005167463130701,-0.000799495731572,-0.003416369881019,0.213871926707769,-0.05883910773475
0.191666666666667,6.85930220228872E-05,-0.005524026852093,-0.000872869412813,-0.003579276719438,0.219022026595059,-0.056680552260263
