Torque_L,Torque_R,Chair_LinVel,Chair_AngVel,AngVel_L,AngVel_R
0.179711613337435,-0.252765825900311,0,0,0,0
0.16927586280517,-0.245652035828803,-0.0002307282176037,-0.000293076675086652,-0.00052486349610679,-0.00101332462125121
0.158949645120007,-0.23844173593647,-0.000462026878326361,-0.00057275940150677,-0.00106279009316556,-0.00201738909567684
0.148744823799368,-0.231163725767816,-0.000693824010168375,-0.000839887701287833,-0.00161284028282139,-0.00301265311830111
0.138675494528781,-0.223848415937917,-0.000926121466889382,-0.00109373831342372,-0.00217562296177818,-0.00399852015081771
0.128758651599034,-0.216527818706554,-0.00115885363519881,-0.00133529149048813,-0.00275010254192258,-0.00497558835940281
0.119014771972337,-0.209235461423849,-0.00139202783208871,-0.00156379828410492,-0.00333692753687492,-0.00594325801038313
0.109468286271093,-0.202006209583393,-0.0016255821396668,-0.00178042942308052,-0.00393491594632224,-0.00690229831812311
0.10014790365319,-0.194875995638308,-0.0018595333974898,-0.00198427555231757,-0.0045448816980347,-0.00785200761856399
0.0910867582539995,-0.187881460802022,-0.00209381338862406,-0.00217694306584971,-0.00516525874053876,-0.00879349718362162
0.0823223496950874,-0.181059527334482,-0.00232845471206249,-0.00235710664104613,-0.00579726017266987,-0.00972577124108009
0.0738962594400603,-0.174446925766295,-0.00256341477191482,-0.0025257371756383,-0.00643993492668414,-0.0106494968860813
0.065853637688238,-0.168079703446893,-0.00279865996556988,-0.00268358835072714,-0.00709254292629363,-0.0115651901775055
0.0582424700488063,-0.161992737556308,-0.0030341656725536,-0.00283113523598236,-0.00775460621186004,-0.0124731649384973
0.0511126469430495,-0.156219268828341,-0.00326990489187504,-0.0029689073492405,-0.00842559351521637,-0.0133737724306172
0.0445148691432568,-0.150790464323988,-0.00350584763400477,-0.003097488501811,-0.00910491836184008,-0.0142673991981917
0.0384994282044852,-0.145735011153369,-0.00374196043212212,-0.00321751559666305,-0.00979193844318785,-0.0151544644376263
0.0331149001968092,-0.141078739294415,-0.00397820599913984,-0.00332967632273512,-0.0104859563948535,-0.0160354169327454
0.0284067865337227,-0.136844270379314,-0.00421454305000852,-0.00343470571310012,-0.011186222072445,-0.0169107315942785
0.0244161299756108,-0.133050689616823,-0.0044509263024443,-0.00353338155516215,-0.0118919363788459,-0.0177809056374495
0.0211781304890935,-0.129713239149289,-0.00468730666388988,-0.00362651865802912,-0.0126022566646087,-0.0186464544279905
0.018720786589839,-0.126843032821081,-0.00492363160789389,-0.00371496199800561,-0.0133163036946416,-0.019507907024651
0.0170635929886932,-0.124446794659773,-0.00515984573851523,-0.00379957878111044,-0.0140331701441254,-0.0203658014459761
0.0162163330370695,-0.1225266266829,-0.00539589153624251,-0.00388124948482708,-0.0147519305501191,-0.0212206796914976
0.0161780120897855,-0.121079816191439,-0.00563171027306491,-0.00396085797207799,-0.0154716526001514,-0.0220730825536147
0.0169359827615988,-0.120098698139305,-0.00586724307802111,-0.00403928080917616,-0.0161914095857569,-0.0229235442677172
0.0184653127626267,-0.119570593263477,-0.00610243212845563,-0.00411737596462216,-0.0169102937910003,-0.0237725870653706
0.0207284392073205,-0.119477845728943,-0.00633722193716577,-0.00419597111306592,-0.0176274305296643,-0.0246207157181075
0.0236751402523394,-0.119797983649237,-0.00657156070237487,-0.00427585181263954,-0.0183419924973833,-0.0254684121851159
0.0272428374388258,-0.120504021405128,-0.00680540168645421,-0.00435774985772091,-0.0190532140734133,-0.0263161305029481
0.0313572230673675,-0.121564914696788,-0.00703870459055022,-0.00444233212758528,-0.019760405195513,-0.0271642920748218
0.0359331896828268,-0.122946169094135,-0.00727143689536167,-0.00453019025134939,-0.0204629644417478,-0.0280132815273301
0.0408760263831538,-0.124610592228061,-0.00750357514252108,-0.00462183139134504,-0.0211603909822827,-0.0288634433011912
0.0460828409330767,-0.126519170354888,-0.00773510613542554,-0.00471767041395828,-0.0218522951064532,-0.029715079129717
0.0514441671966971,-0.12863204317964,-0.00796602804202,-0.00481802367450266,-0.0225384070779811,-0.0305684465354856
0.0568457221093099,-0.130909547303196,-0.00819635138437664,-0.00492310459676898,-0.0232185841172813,-0.0314237584452296
0.0621702827093178,-0.133313298405391,-0.00842609990084493,-0.00503302118337805,-0.0238928153500014,-0.0322811839889648
0.0672996596514319,-0.135807284527077,-0.00865531126639273,-0.00514777555300553,-0.0245612245938045,-0.0331408505154804
0.0721167480773904,-0.138358946321496,-0.00888403765602395,-0.00526726556615561,-0.0252240708816168,-0.0340028468252095
0.0765076395157768,-0.140940223276975,-0.00911234613528597,-0.00539128857211896,-0.0258817466408541,-0.0348672275943857
0.0803637799178604,-0.14352854609084,-0.00934031886105334,-0.00551954728454407,-0.0265347734663911,-0.0357340189406312
0.0835841593590382,-0.146107753878573,-0.00956805307486279,-0.00565165776938265,-0.0271837954417238,-0.0366032250573615
0.0860775182872059,-0.14866891115306,-0.00979566086979917,-0.00578715950436317,-0.0278295699790279,-0.0374748358196332
0.0877645530605371,-0.151210994606531,-0.0100232687101184,-0.00592552744140896,-0.028472956165887,-0.038348835234902
0.0885800997293202,-0.153741415013455,-0.0102510166805361,-0.00606618597087066,-0.0291149006260614,-0.0392252105775125
0.088475270097466,-0.156276336517639,-0.0104790574397571,-0.00620852464829046,-0.029756420925615,-0.0401039620060991
0.0874195089288389,-0.158840755643337,-0.0107075548508701,-0.0063519155012459,-0.0303985865851955,-0.0409851124206053
0.0854025364715026,-0.161468306686214,-0.0109366822602957,-0.00649573168777065,-0.0310424977945102,-0.0418687172741279
