Torque_L,Torque_R,Chair_LinVel,Chair_AngVel,AngVel_L,AngVel_R
2.47589722844843,-4.68940492714859,0.433322669658151,-0.86026440747393,2.16129590508878,0.727521892632229
2.73241139328638,-4.62782472028198,0.433007242732972,-0.859417290075892,2.15953855083982,0.727176400713331
2.99475937355241,-4.56712663087285,0.432747295407245,-0.858710190342381,2.15808280997614,0.726899159405501
3.26192155357232,-4.50741899273424,0.432543777804684,-0.858146324229214,2.15693452953996,0.726690655824603
3.53287774899942,-4.44880737939901,0.432397443653741,-0.857728264810806,2.15609836618814,0.726551258170131
3.80661988801101,-4.39139390200239,0.432308850552037,-0.85745794618868,2.15557779033069,0.726481213349556
4.08216377294324,-4.33527650227647,0.432278362573998,-0.857336675381206,2.155375104731,0.726480645762322
4.35855971633248,-4.28054823080351,0.432306155060773,-0.857365151489129,2.15549147644352,0.726549557294971
4.63490189535683,-4.2272964991012,0.432392221397628,-0.857543491295159,2.15592698073806,0.72668782857946
4.91033632330276,-4.17560229450534,0.432536381559161,-0.85787126035392,2.15668065549214,0.726895221568936
5.184067393252,-4.12553935034531,0.432738292187372,-0.858347508564899,2.15775056442866,0.727171383487159
5.45536300380736,-4.07717327101653,0.432997457961463,-0.858970809198702,2.15913386753713,0.727515852205959
5.7235583244448,-4.03056062165777,0.433313244020254,-0.859739300366004,2.16082689703918,0.727928063095843
5.98805829403336,-3.98574800369335,0.433684889206494,-0.860650727975841,2.16282523733485,0.728407357375113
6.24833896670296,-3.94277114826275,0.43411151991473,-0.861702489317376,2.16512380748025,0.728952991951286
6.50394782396574,-3.90165406717421,0.434592164338298,-0.862891676505658,2.16771694488238,0.72956415070628
6.75450316372261,-3.86240830386506,0.43512576692434,-0.864215119144313,2.17059848903473,0.73023995712754
6.99969266119829,-3.82503232458323,0.435711202857073,-0.865669425664937,2.17376186424436,0.730979488136129
7.23927118062018,-3.789511083409,0.436347292398761,-0.867251022896523,2.17720016040964,0.731781788915436
7.47305790527354,-3.75581578525675,0.437032814925536,-0.868956193495923,2.18090621099839,0.732645888505183
7.70093285052211,-3.72390386032474,0.437766522502886,-0.870781110934169,2.18487266745476,0.733570815897811
7.92283282918195,-3.69371915334096,0.438547152854877,-0.872721871788321,2.18909206933986,0.734555616359324
8.13874694804437,-3.66519232301044,0.439373441593048,-0.874774525140061,2.19355690959355,0.735599367693444
8.34871172394723,-3.63824144229275,0.440244133585873,-0.87693509893472,2.19825969439851,0.736701196173976
8.55280591412712,-3.61277278822084,0.441157993367012,-0.879199623209815,2.20319299723155,0.737860291881859
8.75114515740485,-3.58868180928596,0.442113814499254,-0.881564150159848,2.20834950679739,0.739075923197642
8.94387652102284,-3.56585425697221,0.443110427830142,-0.884024771061771,2.21372206865195,0.740347450215664
9.13117304495214,-3.54416746469709,0.444146708594342,-0.886577630140358,2.21930372043144,0.741674336864174
9.31322837345412,-3.52349175243147,0.445221582337084,-0.889218935502726,2.22508772070922,0.743056161538007
9.49025156330721,-3.50369192987153,0.446334029652775,-0.891944967316271,2.23106757160614,0.744492626079025
9.66246215792065,-3.48462886671734,0.447483089753643,-0.894752083445113,2.23723703538307,0.745983562974551
9.83008561393473,-3.46616109644739,0.448667862904598,-0.897636722797504,2.24359014534658,0.747528940684073
9.99334915987402,-3.4481464203681,0.449887511781663,-0.9005954066703,2.25012121149746,0.749128867046959
10.1524781547162,-3.43044348152222,0.451141261831018,-0.903624738405118,2.25682482144099,0.750783590765796
10.3076929993189,-3.41291328266295,0.452428400722748,-0.906721401692953,2.26369583715329,0.752493500998366
10.4592066379859,-3.39542062787731,0.453748277006988,-0.909882157878887,2.2707293882557,0.754259125124219
10.6072226732998,-3.37783547235879,0.455100298090122,-0.913103842626305,2.277920862489,0.756081124778486
10.7519341054688,-3.36003416846725,0.456483927655386,-0.916383362301554,2.28526589410258,0.757960290266657
10.8935226966992,-3.34190059847366,0.457898682656236,-0.919717690435768,2.29276035088392,0.759897533490979
11.0321589493287,-3.32332718584689,0.459344130012627,-0.923103864610449,2.3004003205508,0.761893879533384
11.1680026717009,-3.30421577864217,0.460819883139645,-0.926538984096026,2.30818209721217,0.763950457052129
11.3012040875376,-3.28447840167261,0.462325598434271,-0.9300202085463,2.31610216856949,0.766068487658985
11.4319054242813,-3.26403787945348,0.463860971838524,-0.933544758015307,2.3241572044745,0.768249274448991
11.560242896311,-3.242828339107,0.46542573558512,-0.937109914517097,2.33234404738131,0.770494189852819
11.6863489830672,-3.22079560980328,0.467019655215003,-0.94071302529517,2.34065970512932,0.772804662970702
11.8103548920513,-3.19789754011936,0.468642526935453,-0.94435150790959,2.34910134637617,0.775182166526852
11.9323930929358,-3.17410425409616,0.47029417536435,-0.948022857188063,2.35766629887122,0.777628203557781
12.0525998105046,-3.14939835926176,0.471974451682786,-0.951724654022956,2.36635205062842,0.78014429392349
12.1711173687912,-3.12377510639375,0.47368323219655,-0.955454575928249,2.37515625392871,0.782731960714959
12.2880962845979,-3.09724248462446,0.475420417288547,-0.959210409196734,2.3840767319591,0.785392716631212
12.403697014453,-3.06982122106562,0.477185930729558,-0.962990062418056,2.39311148778024,0.788128050416814
12.5180912649337,-3.04154464537886,0.47897971930337,-0.966791581033594,2.4022587152059,0.790939413483238
12.631462783034,-3.01245837895329,0.480801752693357,-0.970613162519334,2.4115168110773,0.793828206878412
12.7440075520423,-2.98261981566181,0.482652023569653,-0.974453171708493,2.42088438832259,0.796795768808434
12.8559333300504,-2.95209737453015,0.484530547808286,-0.978310155698745,2.43036028910991,0.799843362945334
12.967458482663,-2.9209695208821,0.486437364765464,-0.982182857739948,2.43994359733484,0.802972167768256
13.078810077607,-2.88932356855026,0.488372537521737,-0.98607022947078,2.44963364963144,0.806183267180141
13.1902212249392,-2.85725428952291,0.490336153002302,-0.989971440867052,2.45943004406355,0.809477642618463
13.3019276607357,-2.82486236819353,0.492328321871674,-0.993885887278834,2.46933264563794,0.812856166839884
13.4141635837779,-2.7922527454223,0.494349178093511,-0.997813192964315,2.47934158778197,0.816319599508107
13.5271567643447,-2.75953290340563,0.496398878039597,-1.00175321057209,2.48945726894206,0.819868584655248
13.6411229532386,-2.72681114594502,0.498477599025931,-1.00570601607723,2.49968034348413,0.823503650022078
13.7562596292116,-2.69419492952397,0.500585537148918,-1.00967189873845,2.51001170611176,0.827225208214353
