Torque_L,Torque_R,Chair_LinVel,Chair_AngVel
0.111465399148775,0.0468574022502075,0,0
0.111679040175014,0.0280563305361701,-0.000190442426900544,-4.55502616651178e-05
0.111408628713293,0.00938167600780274,-0.000384137350218045,-0.000103782567033218
0.110692298975389,-0.00900744361005035,-0.000581142697985613,-0.000174224266842116
0.109570895876705,-0.0269568355433909,-0.000781481751213467,-0.000256323093532812
0.108086900240979,-0.0443199442184623,-0.000985143624718925,-0.00034945278789181
0.106283464019739,-0.0609603339694791,-0.00119208440614651,-0.000452919804752982
0.104203597229192,-0.0767538744504908,-0.00140222889086286,-0.000565971010250115
0.101889536683742,-0.0915905737142849,-0.00161547283172748,-0.000687802265875583
0.0993823092491944,-0.105376019437922,-0.00183168560853566,-0.00081756777791108
0.096721481668996,-0.118032406151389,-0.00205071321362777,-0.000954390072790798
0.0939450687869523,-0.129499144341307,-0.00227238144855351,-0.00109737043887847
0.0910895560146995,-0.139733064562998,-0.00249649923168485,-0.0012455996539418
0.0881899826851646,-0.148708244595487,-0.00272286192731173,-0.00139816879775124
0.0852800308042181,-0.156415498503728,-0.00295125462137678,-0.00155417993357682
0.082392067037059,-0.162861572079213,-0.00318145528565913,-0.00171275643268364
0.0795570923946494,-0.168068089722413,-0.0034132377890803,-0.00187305271219514
0.0768045628748949,-0.172070295127465,-0.00364637473047887,-0.0020342631577713
0.0741620556423312,-0.174915624784602,-0.00388064008077879,-0.00219563000791829
0.0716547703584583,-0.176662151896704,-0.0041158116334324,-0.00235644998801166
0.0693048746043189,-0.177376940118904,-0.00435167327005666,-0.00251607950324315
0.0671307248603376,-0.177134350881291,-0.00458801705312287,-0.00267393823560899
0.0651460169569487,-0.176014352455899,-0.00482464515930844,-0.00282951104406906
0.0633589375476204,-0.174100880144376,-0.00506137166573076,-0.00298234813832856
0.0617713966956939,-0.171480292503027,-0.00529802419708542,-0.00313206357923146
0.0603784193765098,-0.168239957996883,-0.00553444543533716,-0.00327833224225069
0.0591677621034148,-0.164466991996965,-0.00577049448591274,-0.00342088545386662
0.0581198036044774,-0.160247149318261,-0.00600604808626507,-0.00355950556543694
0.0572077392834696,-0.155663866225663,-0.00624100163517196,-0.00369401976218683
0.0563980906183816,-0.150797440210912,-0.00647527001513733,-0.00382429341773426
0.0556515234753716,-0.145724335796273,-0.00670878817664144,-0.00395022330149844
0.0549239530449842,-0.140516608002785,-0.00694151145243577,-0.00407173093198315
0.054167897078904,-0.135241438933139,-0.00717341557298787,-0.00418875634593911
0.0533340236516024,-0.129960784887585,-0.00740449636052351,-0.00430125252210429
0.0523728264830386,-0.124731130940647,-0.00763476908841017,-0.00440918065786527
0.0512363523018512,-0.119603347922653,-0.00786426750401312,-0.00451250644797245
0.0498799026007795,-0.114622644968821,-0.00809304252555376,-0.00461119745885322
0.0482636367030371,-0.109828610460612,-0.00832116063583701,-0.00470522163475651
0.046354012965213,-0.105255335237624,-0.00854870200709693,-0.00479454691833618
0.0441250179152196,-0.100931613189336,-0.00877575840096738,-0.00487914192258261
0.0415591468689814,-0.0968812142812909,-0.00900243089522919,-0.00495897755507905
0.0386481123958928,-0.0931232229102411,-0.00922882749417489,-0.00503402946878371
0.0353932681078595,-0.0896724304369428,-0.00945506068198219,-0.00510428119377979
0.0318057447524542,-0.0865397659810775,-0.00968124497839332,-0.0051697277893347
0.0279063042956825,-0.0837327456745684,-0.00990749455343252,-0.00523037984378789
0.0237249265431493,-0.0812559188366807,-0.0101339209531612,-0.00528626764148303
0.0193001524611505,-0.0791112904309922,-0.0103606309819183,-0.00533744531282634
0.0146782185690545,-0.0772987023191369,-0.0105877247784469,-0.00538399478781637
0.00991202647350478,-0.0758161602744095,-0.0108152941140656,-0.00542602938677869
0.00505999888253908,-0.0746600983958967,-0.0110434209309358,-0.0054636969047822
0.00018487616892432,-0.0738255768153076,-0.0112721761280151,-0.00549718207653824
-0.00464749578621097,-0.0733064122218451,-0.0115016185922118,-0.00552670834293826
-0.00936934559031883,-0.0730952437541046,-0.0117317944635522,-0.00555253887417846
-0.0139120985869297,-0.0731835393606714,-0.0119627366168413,-0.00557497683292433
-0.018207433582961,-0.0735615500573422,-0.0121944643391616,-0.00559436488047587
-0.0221882823776132,-0.0742182216835219,-0.0124269831829178,-0.00561108393795229
-0.0257897905837945,-0.0751410755386044,-0.0126602849775646,-0.00562555121458336
-0.0289502598173541,-0.0763160703795917,-0.0128943479884703,-0.00563821751027127
-0.0316120841119782,-0.0777274586961548,-0.013129137216941,-0.00564956379507681
-0.033722679867675,-0.0793576502481901,-0.0133646048396513,-0.00566009706951698
-0.0352353931371181,-0.0811870958848142,-0.0136006907875329,-0.00567034552020492
-0.0361103550250619,-0.0831942048383758,-0.0138373234633162,-0.00568085300630827
-0.0363152480292845,-0.0853553091012062,-0.0140744205939303,-0.00569217294170214
-0.0358259434946932,-0.0876446893148927,-0.0143118902097741,-0.00570486167222687
-0.0346269716472527,-0.0900346778691434,-0.0145496317384717,-0.00571947148391905
-0.0327117893822578,-0.0924958559778117,-0.0147875371968132,-0.00573654341415914
-0.030082816247097,-0.0949973608104244,-0.0150254924615182,-0.00575660007153861
-0.0267512159009413,-0.0975073145162811,-0.0152633785971473,-0.00578013869948913
-0.0227364093962769,-0.0999933784780427,-0.0155010732175894,-0.00580762473975071
-0.0180653185948272,-0.102423424558674,-0.0157384518557506,-0.00583948616026295
-0.0127713527466904,-0.104766303041326,-0.015975389314386,-0.00587610880427367
-0.0068931670806358,-0.106992676970211,-0.016211760969879,-0.00591783299160846
-0.000473236295059684,-0.109075886008647,-0.0164474440006873,-0.00596495156023083
0.00644370492598891,-0.110992799491101,-0.0166823185133743,-0.00601770948026962
0.0138122997031729,-0.11272461677227,-0.0169162685412387,-0.00607630510910169
0.0215882343362463,-0.114257572034944,-0.0171491828926976,-0.00614089309056056
0.0297298886441198,-0.115583500261548,-0.0173809558277661,-0.00621158883851656
0.0381999376012486,-0.116700222291109,-0.0176114875406839,-0.00628847448789218
0.04696687782137,-0.117611711591377,-0.017840684425204,-0.00637160614625888
0.0560064571021204,-0.118328014817887,-0.0180684590972535,-0.00646102223771428
0.0653029880112101,-0.118864912071241,-0.0182947301488506,-0.00655675269923623
0.0748505286828422,-0.119243318797883,-0.0185194216083557,-0.00665882876973668
0.0846539168287874,-0.119488446099073,-0.0187424620857117,-0.00676729310445209
0.0947296469621894,-0.119628746653122,-0.018963783586893,-0.0068822099514436
0.105106585446232,-0.119694678061011,-0.0191833199883241,-0.0070036751404319
0.115826522047033,-0.119717314947847,-0.0194010051684723,-0.00713182565334815
0.126944559305536,-0.119726837905941,-0.0196167707994208,-0.00726684856712895
0.138529342191255,-0.119750924079938,-0.0198305438058386,-0.00740898917979932
0.150663130740376,-0.11981306299534,-0.0200422435026567,-0.00755855814998068
0.163441718304174,-0.119930823032106,-0.0202517784264773,-0.0077159374985701
0.176974197693557,-0.12011409840561,-0.020459042879857,-0.00788158534125994
0.19138257635595,-0.120363372434918,-0.0206639132126173,-0.00805603924327122
0.206801239191468,-0.120668038652847,-0.0208662438706134,-0.0082399181133947
0.22337625391123,-0.121004825359143,-0.021065863250122,-0.0084339225820051
0.241264510277854,-0.121336370340367,-0.0212625694050285,-0.00863883383516841
0.260632683112535,-0.121609990104075,-0.021456125663704,-0.00885551090253628
0.281656011297038,-0.121756682209398,-0.0216462562218492,-0.00908488641963762
0.304516891776207,-0.121690390861973,-0.0218326417853741,-0.00932796090584707
0.329403297997818,-0.121307556099506,-0.0220149153423886,-0.00958579561899155
0.356507044213254,-0.120486957004117,-0.0221926581447788,-0.00985950406770212
0.386021927711166,-0.119089850466538,-0.0223653959774552,-0.0101502422840834
0.41814178751213,-0.116960399336609,-0.0225325957876488,-0.0104591979815774
0.453058518466105,-0.113926376904056,-0.0226936627386008,-0.0107875787438193
0.490960074046438,-0.109800128211011,-0.0228479377428203,-0.0111365994062357
0.532028481427841,-0.104379763065096,-0.0229946955208912,-0.0115074687995375
0.57643788201368,-0.0974505517871677,-0.0231331432233949,-0.0119013760213229
0.62435260292257,-0.0887864936535805,-0.0232624196462522,-0.0123194763899031
0.67592526249686,-0.0781520300273786,-0.0233815950636485,-0.0127628772172229
0.731294916252606,-0.0653038789023658,-0.0234896716972709,-0.0132326235210556
0.790585257492105,-0.0499929740680827,-0.0235855848353437,-0.0137296837860761
0.853902896384562,-0.0319664991627856,-0.0236682046094389,-0.0142549358827865
0.921335749754403,-0.0109700132439019,-0.0237363384311013,-0.0148091532637994
0.992951578760921,0.0132503309704608,-0.0237887340840632,-0.0153929915770479
1.06879671185086,0.0409454730404794,-0.0238240834615345,-0.0160069758612823
1.14889498587622,0.0723610325429889,-0.0238410269321283,-0.0166514885157454
1.23324693041538,0.107734799843009,-0.0238381583127196,-0.0173267582582439
1.32182921106926,0.147294137609857,-0.0238140304219823,-0.0180328502999264
1.41459433841783,0.191253309786465,-0.0237671611842258,-0.0187696579682242
1.51147064118092,0.239810765327689,-0.0236960402489817,-0.0195368960002276
1.61236249526004,0.293146414867739,-0.0235991360871504,-0.0203340957069753
1.71715079516575,0.351418947934384,-0.0234749035191654,-0.0211606021756771
1.82569365145467,0.414763244714979,-0.0233217916245464,-0.0220155736340874
1.9378272977963,0.483287938244876,-0.0231382519755453,-0.0228979830529625
2.05336719441955,0.557073179511114,-0.0229227471306347,-0.0238066220138802
2.1721093204284,0.636168649885722,-0.0226737593167369,-0.0247401068262793
2.29383165426529,0.720591854471188,-0.0223897992226774,-0.0256968868440051
2.41829584728468,0.810326719216883,-0.0220694148206745,-0.0266752549100273
2.54524909810963,0.90532250691779,-0.0217112001278875,-0.0276733598470354
2.67442623425576,1.00549306437999,-0.0213138038161177,-0.0286892209069771
2.80555200252639,1.11071641550056,-0.0208759375745031,-0.0297207440882554
2.93834356173394,1.22083472147152,-0.0203963841272128,-0.0307657402192545
3.07251316137985,1.33565463736786,-0.0198740048055833,-0.0318219446867194
3.20777097887666,1.45494810121995,-0.019307746571965,-0.0328870386552179
3.34382807651705,1.57845359463953,-0.0186966483912064,-0.0339586715798629
3.48039942846941,1.70587791106661,-0.0180398468459849,-0.0350344847613927
3.61720695808885,1.83689845765033,-0.0173365808950574,-0.036112135635118
3.7539825170305,1.97116609995095,-0.0165861956800402,-0.0371893224286054
3.89047073062449,2.10830853677921,-0.015788145297444,-0.0382638087725737
4.02643162989394,2.24793416844917,-0.0149419944688812,-0.0393334478098086
4.16164299093187,2.38963639879037,-0.0140474190633751,-0.0403962053212327
4.29590230843308,2.53299829216382,-0.0131042054504716,-0.0414501813786807
4.4290283426748,2.6775974928977,-0.0121122486896454,-0.0424936300416214
4.56086219748274,2.82301130598558,-0.0110715495882724,-0.0435249766406867
4.69126790842237,2.9688218333969,-0.00998221068533596,-0.0445428322346086
4.82013254235444,3.11462105823641,-0.00884443123985186,-0.045546004888394
4.94736582860991,3.26001576782656,-0.00765850132136731,-0.0465335074976137
5.07289935675441,3.40463220615884,-0.00642479511518828,-0.0475045619738325
5.1966853863163,3.54812034704342,-0.00514376356787003,-0.0484585997059996
5.31869532132598,3.69015768373393,-0.00381592650937662,-0.0493952583179809
5.43891790871822,3.83045244091773,-0.0024418643969823,-0.0503143748488775
5.55735722539361,3.96874613172905,-0.00102220983163014,-0.0512159755856069
5.67403052334312,4.10481540521478,0.000442361000972622,-0.0521002628715708
5.78896600396729,4.23847315645036,0.00195113681553008,-0.0529675992963171
5.90220058999719,4.36956889956924,0.00350337949784444,-0.0538184897343637
6.01377775595101,4.49798843060263,0.00509833203280772,-0.054653561743172
6.12374546695763,4.62365283001333,0.00673522597725251,-0.0554735448487384
6.23215426301963,4.74651687282905,0.00841328838291423,-0.0562792492428042
6.33905551347608,4.86656692693135,0.0101317480932704,-0.0570715443908041
6.44449985615812,4.98381842746952,0.0118898413565182,-0.0578513380085446
6.54853582819648,5.09831301779034,0.0136868167148928,-0.0586195558132621
6.65120869037021,5.21011544490708,0.0155219391475097,-0.0593771223963943
