rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,wrench,force,x,y,z,torque,x,y,z
8000000,,0,,0,5000000,"""Right-Wheel""",,,0.00016665542787,0.000101032480047,3.74068234858e-05,,-7.22026624714e-05,-4.67441949263e-05,3.02741668049e-05
10000000,,1,,0,10000000,"""Right-Wheel""",,,-27.5391776709,-0.922289179717,-25.0378379688,,-0.142926961745,0.00267002203514,0.0446157331203
15000000,,2,,0,15000000,"""Right-Wheel""",,,6.9883036078,58.8896149586,212.923402273,,20.337954658,0.00358601897051,-0.0491340903301
20000000,,3,,0,20000000,"""Right-Wheel""",,,-11.8071113332,10.9284417968,378.504495693,,8.29712695406,0.250849936562,0.00702052789715
25000000,,4,,0,25000000,"""Right-Wheel""",,,0.934064720943,11.1042589848,-21.2569698473,,-0.0057638101773,0.232486008173,-0.340450483017
30000000,,5,,0,30000000,"""Right-Wheel""",,,-16.1282178622,10.7471307731,-19.6167620139,,-0.933171267399,0.225128434542,-0.547085790441
35000000,,6,,0,35000000,"""Right-Wheel""",,,23.6205123813,156.816211041,402.630359746,,54.0436411704,0.212416321618,-0.567369465644
40000000,,7,,0,40000000,"""Right-Wheel""",,,6.74986379977,98.3770547522,411.726358453,,35.887251761,0.190850716138,-0.367580555405
45000000,,8,,0,45000000,"""Right-Wheel""",,,21.0598520428,127.325167413,373.797802962,,44.0029156048,0.175739641714,-0.417804291959
50000000,,9,,0,50000000,"""Right-Wheel""",,,20.7933464269,117.464672708,384.754786032,,40.8237427995,0.166976700507,-0.365599114134
55000000,,10,,0,55000000,"""Right-Wheel""",,,-12.8523961329,7.37470137787,-33.8914589795,,-2.6424723673,0.15828675712,-0.694734401767
60000000,,11,,0,60000000,"""Right-Wheel""",,,-4.0210967211,49.4934429212,384.277565544,,19.9031400948,0.149459903336,-0.196098384469
65000000,,12,,0,65000000,"""Right-Wheel""",,,-0.140038162797,67.0997218668,393.393686067,,26.0645274384,0.144047660098,-0.255731341888
70000000,,13,,0,70000000,"""Right-Wheel""",,,-9.49869640986,-66.9723462638,187.159623281,,-19.775997445,0.139472527914,0.160690143101
75000000,,14,,0,75000000,"""Right-Wheel""",,,1.6292852711,-29.3822453618,330.990764193,,-5.33702923871,0.135678962503,0.0608499420325
80000000,,15,,0,80000000,"""Right-Wheel""",,,19.088115587,-7.24683972747,289.276236994,,1.33643193203,0.127534984858,0.0376797055494
85000000,,16,,0,85000000,"""Right-Wheel""",,,-7.56487132481,-56.9249658277,296.699534348,,-14.8343616779,0.123951855315,0.101310528622
90000000,,17,,0,90000000,"""Right-Wheel""",,,12.5160338,119.070017312,300.10485174,,40.8433861172,0.123285249908,-0.327473861885
95000000,,18,,0,95000000,"""Right-Wheel""",,,-12.494104578,-125.254271878,271.070532347,,-35.4720840864,0.128592070723,0.523011078279
100000000,,19,,0,100000000,"""Right-Wheel""",,,15.1012019485,-58.1838923489,254.516159401,,-14.6426009988,0.1289087703,0.323857240317
105000000,,20,,0,105000000,"""Right-Wheel""",,,-9.89780465034,-62.1679541137,264.972442925,,-16.5448103512,0.129695835472,0.18264995089
110000000,,21,,0,110000000,"""Right-Wheel""",,,18.9379028781,-10.8555828419,297.987046534,,0.487052891051,0.132239221579,0.0938943427737
115000000,,22,,0,115000000,"""Right-Wheel""",,,-10.8236811491,-61.9021492264,263.718184356,,-16.454386132,0.133877521249,0.193383368896
120000000,,23,,0,120000000,"""Right-Wheel""",,,18.4641886368,-12.8640787458,291.568280698,,-0.259043436774,0.135880850641,0.101862151131
125000000,,24,,0,125000000,"""Right-Wheel""",,,-12.0380675859,-60.8585498446,258.245532495,,-16.1626423797,0.137668443837,0.202788458783
130000000,,25,,0,130000000,"""Right-Wheel""",,,18.435542221,-11.3358273983,292.745807293,,0.243115123983,0.139714926393,0.102209638995
135000000,,26,,0,135000000,"""Right-Wheel""",,,-12.0910581004,-60.3398192701,258.649598685,,-15.9831432309,0.141307279291,0.204548378132
