Time,Clus_label,trial,Mean Torque_L,Mean Torque_R,Mean Chair_LinVel,Mean Chair_AngVel,lin_acc_prediction,lin_velocity_prediction,ang_acc_prediction,ang_velocity_prediction
0.0,0,Turn90FR_T1,0.10748600276868198,-0.19968670704885927,-3.443854858427154e-06,-1.7243326430151282e-05,-0.08650432429772814,-0.005766954953181876,0.0,0.0
0.06666666666666667,0,Turn90FR_T1,0.024258264079875885,-0.1265799028703385,-0.0006325590855044336,-0.00023600137402164217,-0.08622066145570287,-0.011514999050228732,0.0,0.0
0.13333333333333333,0,Turn90FR_T1,0.07256315702674522,-0.14243338282414836,-0.0026895822154755443,0.000635022598045268,-0.08511685878959742,-0.017189456302868562,0.0,0.0
0.2,0,Turn90FR_T1,0.04048974875868063,-0.19978615679386524,-0.005742425525522779,0.001017499507542863,-0.08908938951812063,-0.02312874893740994,0.0,0.0
0.26666666666666666,2,Turn90FR_T1,0.2048184250227488,-0.3261855090954697,-0.005541928338899153,-0.0037547943690977572,-0.08484873701039256,-0.028785331404769444,0.5205051664430662,0.03470034442953775
0.3333333333333333,1,Turn90FR_T1,1.3771072052183455,0.08028422072865253,0.001205566148714258,-0.007974525120769101,-0.03636546454928227,-0.03120969570805493,0.0,0.03470034442953775
0.4,1,Turn90FR_T1,3.2347892395168945,1.9280900308407647,0.014155753896670412,-0.004142205480343187,0.20323950558713647,-0.017660395335579164,0.0,0.03470034442953775
0.4666666666666667,1,Turn90FR_T1,5.0619596433789145,4.173886127024934,0.03348984067004414,-0.0009988661611604205,0.4695737576717165,0.01364452184253527,0.0,0.03470034442953775
0.5333333333333333,1,Turn90FR_T1,6.505791993140518,5.505643243787222,0.05964063991405873,-0.01392896739670793,0.6483262380796232,0.05686627104784348,0.0,0.03470034442953775
0.6,1,Turn90FR_T1,7.60151941883981,6.353116279387077,0.09246515221726188,-0.04033569832749993,0.7722984238465687,0.10835283263761472,0.0,0.03470034442953775
0.6666666666666666,1,Turn90FR_T1,8.398429740641308,7.1689747757598745,0.12927304492142375,-0.05907156965078647,0.8767442048045125,0.16680244629124888,0.0,0.03470034442953775
0.7333333333333333,1,Turn90FR_T1,8.823677915643081,7.744925548362906,0.16797012362952488,-0.06556670978711075,0.9425435722061113,0.22963868443832297,0.0,0.03470034442953775
0.8,1,Turn90FR_T1,9.105993354548461,8.019102763616704,0.21003680038650366,-0.07205046362213711,0.9784816278733112,0.2948707929632104,0.0,0.03470034442953775
0.8666666666666667,0,Turn90FR_T1,9.201620782219193,8.138639818228754,0.2548968577611746,-0.08574325120484075,0.6617091933537574,0.3389847391867942,-1.0,-0.03196632223712892
0.9333333333333333,0,Turn90FR_T1,8.998524570815455,8.20300574352563,0.3008502859387398,-0.0981395900805635,0.6569590259172802,0.38278200758127956,1.0,0.03470034442953775
1.0,0,Turn90FR_T1,8.701469979762571,8.186783902974298,0.347003734790784,-0.10135383789775465,0.6447439434302757,0.42576493714329794,-1.0,-0.03196632223712892
1.0666666666666667,0,Turn90FR_T1,8.487196546890926,8.129645372239612,0.392785763221939,-0.09843278755825381,0.633764317727633,0.46801589165847346,1.0,0.03470034442953775
1.1333333333333333,0,Turn90FR_T1,8.221441854292534,8.099017993053891,0.43748289122808176,-0.09717209190217303,0.6220672062528348,0.5094870387419957,-1.0,-0.03196632223712892
1.2,0,Turn90FR_T1,7.736096210086226,7.9762239207925845,0.48244275318928476,-0.10171392559180556,0.5975138988392465,0.5493212986646122,1.0,0.03470034442953775
1.2666666666666666,0,Turn90FR_T1,7.299053096266936,7.562183418948088,0.5287389534148504,-0.10799843043699138,0.5609207792848409,0.5867160172836016,-1.0,-0.03196632223712892
1.3333333333333333,0,Turn90FR_T1,6.482663251366597,6.900233748252711,0.5698082739545002,-0.10615943302271016,0.4978855366152435,0.6199083863912844,1.0,0.03470034442953775
1.4,0,Turn90FR_T1,4.191771198366535,5.776841906834294,0.594021962677087,-0.10353619031847372,0.35603777328575736,0.6436442379436682,-1.0,-0.03196632223712892
1.4666666666666666,0,Turn90FR_T1,1.1392184580443043,3.465268546161636,0.6031274528507166,-0.11776245930222284,0.12814745626050783,0.6521874016943687,1.0,0.03470034442953775
1.5333333333333332,0,Turn90FR_T1,-0.2814533095924532,0.7905575549612659,0.614605474082097,-0.1463305388513755,-0.05422324997617234,0.6485725183626239,-1.0,-0.03196632223712892
1.6,0,Turn90FR_T1,-0.11493682802779752,-0.26576590197097305,0.6360198099629862,-0.16592461821656698,-0.09822452499820536,0.6420242166960768,1.0,0.03470034442953775
1.6666666666666667,0,Turn90FR_T1,0.13518955542975047,-0.12965028376118087,0.6550079347811143,-0.15970132180449143,-0.08209475045642006,0.6365512333323154,-1.0,-0.03196632223712892
1.7333333333333334,0,Turn90FR_T1,0.13392989730000876,-0.07183796460317057,0.6577670884141673,-0.138666239881191,-0.07938408948735216,0.6312589606998253,1.0,0.03470034442953775
1.8,0,Turn90FR_T1,0.08057566569426496,-0.09256705423936697,0.6456058737967245,-0.11437111480635136,-0.08242831991871212,0.6257637393719112,-1.0,-0.03196632223712892
1.8666666666666667,0,Turn90FR_T1,0.055908858178379116,-0.04782341354952428,0.6270636088855011,-0.09188534822237869,-0.08124289211300437,0.6203475465643776,1.0,0.03470034442953775
1.9333333333333333,0,Turn90FR_T1,-0.044360064103956064,-0.04620099898075845,0.607844871112072,-0.08141162778406297,-0.08502725490463899,0.6146790629040684,-1.0,-0.03196632223712892
