Time,AngVel_L,AngVel_R,Chair_LinVel,Chair_AngVel,Torque_L,Torque_R
6.70833333333333,4.28489084076939,4.31071389379474,1.37529675752975,0.016526753936183,-0.276890560078798,-0.342127785265413
6.7125,4.28192813369369,4.30871698676175,1.37450321927243,0.017144865963469,-0.305762817779969,-0.350434960479419
6.71666666666667,4.27892989484467,4.30676316432354,1.37371088946655,0.017813292466347,-0.33447212656745,-0.357182875229568
6.72083333333333,4.27589644741993,4.30485026121173,1.37291947338078,0.018530440826606,-0.362837716363271,-0.362113413033001
6.725,4.27282823282823,4.3029758135285,1.37212864741686,0.019294451648031,-0.390668727572249,-0.364962061272422
6.72916666666667,4.2697258313838,4.3011371647372,1.37133807937921,0.02010325334605,-0.417765028720389,-0.365460507056486
6.73333333333333,4.26658999438346,4.29933158544769,1.3705474527729,0.020954618281001,-0.44391828100315,-0.363339576503088
6.7375,4.26342168542,4.29755640246898,1.36975649406221,0.021846218911269,-0.468913279815577,-0.358332495507212
6.74166666666667,4.26022212831924,4.2958091321577,1.36896500167634,0.022775682456577,-0.492529593325472,-0.350178433032662
6.74583333333333,4.25699285879685,4.29408761271722,1.36817287544233,0.023740642509043,-0.514543505982859,-0.338626272099647
6.75,4.25373577685796,4.29239012977325,1.36738014506112,0.024738785865839,-0.534730259428094,-0.323438539697453
6.75416666666667,4.25045319712314,4.29071552943997,1.36658699625026,0.025767892682867,-0.552866563697818,-0.304395414634927
6.75833333333333,4.24714789461429,4.28906331342521,1.36579379328651,0.026825868039136,-0.568733328594632,-0.281298721048461
6.7625,4.24382314397681,4.28743371154807,1.3650010968842,0.027910763245792,-0.582118541294099,-0.253975803996724
6.76666666666667,4.24048275056881,4.28582772818941,1.36420967660155,0.029020785677409,-0.592820195845359,-0.222283171962212
6.77083333333333,4.23713107226989,4.28424716047921,1.36342051724011,0.030154296454207,-0.600649167192805,-0.186109780255634
6.775,4.23377303123672,4.2826945873621,1.36263481897609,0.031309795920477,-0.605431918950052,-0.145379822049795
6.77916666666667,4.23041411517678,4.28117333007021,1.36185399123981,0.032485897532007,-0.607012940136025,-0.100054893748415
6.78333333333333,4.22706036805792,4.27968738595103,1.36107964064174,0.033681291451744,-0.605256819240703,-0.050135411973847
6.7875,4.22371837051288,4.27824133893575,1.3603135535121,0.034894699790698,-0.600049881467946,0.004338817590188
6.79166666666667,4.2203952105058,4.27684025102246,1.35955767384485,0.036124825930591,-0.591301334405411,0.063288944713251
6.79583333333333,4.21709844510571,4.27548953988386,1.35881407759867,0.037370300657779,-0.578943887305364,0.126598355084798
6.8,4.2138360544877,4.27419484808874,1.35808494441258,0.038629627904214,-0.562933829229813,0.194114863916961
6.80416666666667,4.21061638953681,4.27296190945969,1.3573725278398,0.039901132749952,-0.543250571698364,0.265653756982703
6.80833333333333,4.20744811458794,4.2717964177729,1.3566791251781,0.041182914037402,-0.519895682341413,0.341001577049184
6.8125,4.20434014686861,4.27070390236645,1.35600704787798,0.042472803517332,-0.492891457012189,0.419920525944296
6.81666666666667,4.20130159419179,4.26968961434748,1.35535859336666,0.043768332898017,-0.462279097642939,0.502153333530029
6.82083333333333,4.1983416924619,4.26875842609544,1.35473601896955,0.04506670952348,-0.428116580022483,0.58742843365417
6.825,4.195469744605,4.26791474579867,1.35414151846496,0.046364800761581,-0.390476307623444,0.67546528278249
6.82916666666667,4.19269506254938,4.26716244798499,1.35357720168587,0.047659126676031,-0.349442652836228,0.765979659306885
6.83333333333333,4.1900269138226,4.26650482047736,1.35304507748837,0.048945860255891,-0.305109484451177,0.85868879080297
6.8375,4.18747447418407,4.26594452785655,1.35254704032688,0.050220834346843,-0.2575777703536,0.953316172706331
6.84166666666667,4.18504678744602,4.26548359122936,1.35208486058845,0.051479554417405,-0.206953329095562,1.04959596372449
6.84583333333333,4.182752733211,4.26512338382215,1.3516601787257,0.052717216386828,-0.15334478613629,1.14727686821488
6.85,4.18060100270436,4.26486464165281,1.35127450309756,0.053928728922337,-0.096861772897067,1.24612544046342
6.85416666666667,4.17860008231218,4.26470748830014,1.3509292112984,0.055108739827283,-0.037613391429915,1.34592876720016
6.85833333333333,4.17675824392858,4.26465147259342,1.35062555464397,0.056251666340168,0.024293044331515,1.4464965006291
6.8625,4.17508354080073,4.26469561787998,1.35036466538938,0.057351729325109,0.088752987600787,1.54766222412166
6.86666666666667,4.17358380728065,4.26483848138636,1.35014756618722,0.058402991421788,0.155665358900423,1.64928413770497
6.87083333333333,4.17226666080606,4.2650782220598,1.34997518125908,0.059399399196315,0.224932969094681,1.75124505310302
6.875,4.17113950448919,4.26541267515344,1.34984834874339,0.06033482921887,0.296462665957595,1.85345169130823
6.87916666666667,4.17020952876326,4.26583943169097,1.34976783367329,0.061203137867343,0.37016520325834,1.95583328175728
6.88333333333333,4.16948371055986,4.26635592080927,1.34973434101972,0.06199821455313,0.445954830336574,2.05833947202588
6.8875,4.1689688085008,4.26695949283752,1.34974852821483,0.062714037968933,0.523748600653938,2.16093756981724
6.89166666666667,4.1686713526274,4.26764750086813,1.34981101656003,0.063344734867462,0.603465399980501,2.26360915302341
6.89583333333333,4.16859762729913,4.26841737857816,1.34992240094115,0.063884640811961,0.685024698258119,2.36634609663376
6.9,4.16875364613144,4.26926671222417,1.35008325733771,0.064328362292745,0.768345033345495,2.46914607570383
6.90416666666667,4.16914511822012,4.27019330505539,1.35029414772492,0.064670839568008,0.853342239988594,2.57200761119671
6.90833333333333,4.16977740534779,4.27119523281008,1.35055562210611,0.064907409569361,0.939927444294963,2.67492473150623
6.9125,4.17065547030642,4.27227088942736,1.35086821755826,0.065033868230986,1.02800485334424,2.77788132920478
6.91666666666667,4.1717838168645,4.27341902259758,1.35123245431478,0.065046531662867,1.11746938067891,2.88084530221524
6.92083333333333,4.17316642225619,4.2746387592662,1.35164882904441,0.06494229568024,1.20820415902832,2.98376258184985
6.925,4.17480666337884,4.27592962165882,1.35211780560682,0.064718693293178,1.30007799878757,3.08655116563218
6.92916666666667,4.176707238181,4.27729153476943,1.35263980367282,0.064373949810764,1.39294285242367,3.18909528779843
6.93333333333333,4.17887008404716,4.27872482653454,1.35321518569376,0.063907035186284,1.48663134112048,3.29123987200156
6.9375,4.18129629534986,4.28023022211676,1.35384424279527,0.063317713125382,1.58095439300861,3.39278541713232
6.94166666666667,4.18398604270428,4.28180883390247,1.35452718025761,0.062606586361619,1.67569903615094,3.49348346801562
6.94583333333333,4.18693849676988,4.28346214904095,1.35526410333017,0.061775137448459,1.77062638759766,3.59303281923525
6.95,4.19015175966256,4.28519201657555,1.35605500419843,0.060825764419479,1.86546988372495,3.69107659443122
6.95416666666667,4.19362280712928,4.28700063624772,1.35689975094055,0.059761810631145,1.95993380542301,3.78720033664896
