Time,AngVel_L,AngVel_R,Chair_LinVel,Chair_AngVel,Torque_L,Torque_R
0.0,-1.84515844364195e-05,0.0003805850434137545,0.00018106672948838747,0.000798073255703499,0.038963575271364986,-0.3010855181065297
0.004166666666666667,-7.156501411779732e-06,0.00038016882659301307,0.00018650616259054185,0.0007746506560134874,0.02863952406490735,-0.2878968141051387
0.008333333333333333,5.476224782944048e-06,0.00037022892974542573,0.00018785257726432094,0.0007295054099295819,0.018488013130195494,-0.2745720287584848
0.0125,1.9336878135484988e-05,0.0003494588088250513,0.00018439784348061585,0.0006602438613844137,0.008536722991612365,-0.26124729232005084
0.016666666666666666,3.4275856956388615e-05,0.00031653746361087255,0.0001754066602841852,0.0005645232133148358,-0.0011884384728551864,-0.2480564499760683
0.020833333333333332,5.0101030474325036e-05,0.00027014275189363613,0.00016012189118473126,0.00044008344284497897,-0.010663254032384266,-0.2351286571584785
0.025,6.657541331303894e-05,0.000208965245315918,0.0001377703293154078,0.00028477966401248235,-0.019865041121768963,-0.22258609301366344
0.029166666666666667,8.341521206837961e-05,0.00013172238459678684,0.00010756879833366675,9.66143450637609e-05,-0.028772425567406917,-0.21054184654431116
0.03333333333333333,0.0001002882951394795,3.717266544735399e-05,6.873048029462246e-05,-0.00012623125937725197,-0.03736505533509012,-0.19909803256464176
0.0375,0.0001168131325446795,-7.587043578264263e-05,2.0471348382306335e-05,-0.00038536713664778614,-0.04562327022342122,-0.18834419381199985
0.041666666666666664,0.00013255824661769378,-0.00020852510450767876,-3.798342894367057e-05,-0.0006821667022442446,-0.053527747077766495,-0.17835603858978702
0.04583333333333333,0.0001470422072051059,-0.00036182871611704264,-0.00010739325445466882,-0.0010177418466383922,-0.06105914106515788,-0.1691945491544568
0.05,0.00015973419627397654,-0.0005367265693824344,-0.0001884961865530161,-0.0013929215313077696,-0.06819774172842914,-0.1609054761024794
0.05416666666666667,0.00017005515672282716,-0.0007340621361292075,-0.0002820034897021359,-0.0018082345857001435,-0.07492315876785324,-0.15351921157129922
0.058333333333333334,0.0001773795287428612,-0.0009545691182588269,-0.00038859479475716603,-0.0022638972940008644,-0.08121404825559718,-0.1470510131152915
0.0625,0.00018103756441324747,-0.0011988655697821498,-0.0005089140026839569,-0.0027598062683899926,-0.08704788681381116,-0.14150153411816296
0.06666666666666667,0.0001803181974950488,-0.0014674502927722374,-0.0006435660476385133,-0.0032955369805357793,-0.09240080043134327,-0.1368576077711762
0.07083333333333333,0.00017447243082370517,-0.0017607016501247187,-0.0007931146096509336,-0.003870348161900357,-0.0972474567299339,-0.1330932305312928
0.075,0.00016271718855498363,-0.002078878852712884,-0.0009580808320799813,-0.0044831920825418245,-0.10156103431228634,-0.13017069642998608
0.07916666666666666,0.00014423956511724976,-0.0024221256718797764,-0.001138943053382995,-0.005132730474002974,-0.10531328878784287,-0.1280418432814155
0.08333333333333333,0.00011820138744876097,-0.002790476398113261,-0.0013361375053347752,-0.005817355571136013,-0.10847473967184348,-0.12664938285355523
0.0875,8.374399240236916e-05,-0.0031838637133325743,-0.0015500598604685086,-0.00653521541148507,-0.1110150029633329,-0.12592829653898063
0.09166666666666666,3.99931075993967e-05,-0.003602127981207179,-0.0017810674368082592,-0.007284242177631664,-0.11290328909010312,-0.12580728371721162
0.09583333333333333,-1.393628790215349e-05,-0.004045027330566839,-0.0020294818092398987,-0.008062182085351276,-0.11410907490099392,-0.1262102508191306
0.1,-7.893525633147311e-05,-0.004512247872642874,-0.0022955915644936723,-0.008866625232648107,-0.11460294297740879,-0.12705782557766457
0.10416666666666667,-0.00015589648701844064,-0.005003413483218272,-0.002579654985126,-0.009695033992428314,-0.11435756435200375,-0.12826887478051746
0.10833333333333334,-0.00024571031759364746,-0.005518094761808172,-0.0028819025397097352,-0.010544768888460931,-0.11334878476621496,-0.1297619973454738
0.1125,-0.0003492613306915167,-0.006055816986023241,-0.0032025391583674068,-0.011413111310698387,-0.11155676263332008,-0.13145695986808836
0.11666666666666667,-0.0004674256583476399,-0.006616067062759163,-0.0035417463605646377,-0.012297282808860813,-0.10896710103957963,-0.13327604019085124
0.12083333333333333,-0.0006010691115681259,-0.007198299620828441,-0.003899684366210716,-0.013194461018560932,-0.10557191752587976,-0.1351452461712377
0.125,-0.0007510462299273653,-0.007801942487788847,-0.004276494358871707,-0.01410179251576544,-0.10137080353678436,-0.13699538121936147
0.12916666666666665,-0.0009182003143241063,-0.008426401845020741,-0.004672301079687146,-0.015016403061437485,-0.09637163780275154,-0.13876293466249587
0.13333333333333333,-0.0011033644639208227,-0.009071067357601477,-0.005087215910776928,-0.015935405787406768,-0.0905912306389661,-0.14039078267001515
0.1375,-0.0013073635844593357,-0.009735317527305106,-0.005521340555898967,-0.016855907885737688,-0.08405578548298377,-0.14182869322663144
0.14166666666666666,-0.0015310172681633127,-0.01041852541625445,-0.005974771342226484,-0.0177750162962285,-0.07680116806432209,-0.143033635596603
0.14583333333333334,-0.001775143363808773,-0.011120064733556949,-0.006447604048701187,-0.018689842739542006,-0.06887297314204378,-0.14396990068597532
0.15,-0.002040561957697454,-0.011839316069310426,-0.006939939013522841,-0.019597508223270364,-0.060326376658890624,-0.14460904416208553
0.15416666666666667,-0.002328099370563012,-0.012575672821804494,-0.007451886096203063,-0.020495146902525473,-0.05122576096464989,-0.14492966983004252
0.15833333333333333,-0.002638591642433585,-0.013328546161033007,-0.007983568901752839,-0.021379909037238756,-0.041644104923619175,-0.14491707691749817
